(mmol/g),Qst(kJ/mol)
0.01,15.06447849
0.02,14.98268751
0.03,14.9437927
0.04,14.92236199
0.05,14.91069783
0.06,14.90529473
0.07,14.90393207
0.08,14.90590568
0.09,14.91007964
0.1,14.91635975
0.11,14.92418611
0.12,14.93309185
0.13,14.94337157
0.14,14.9545416
0.15,14.96656877
0.16,14.9793583
0.17,14.99277391
0.18,15.00679499
0.19,15.02135434
0.2,15.03641747
0.21,15.05195985
0.22,15.06783888
0.23,15.08423716
0.24,15.100861
0.25,15.11791454
0.26,15.13521942
0.27,15.15291734
0.28,15.17090518
0.29,15.18909248
0.3,15.20745347
0.31,15.22630602
0.32,15.24521976
0.33,15.26450258
0.34,15.28406519
0.35,15.30354049
0.36,15.32351034
0.37,15.34360291
0.38,15.36380274
0.39,15.3842816
0.4,15.40489441
